g_Na	g_Cl	g_K	kb	Category
35.55555555555556	5.555555555555555	22.0	7.5	SNIC-Infinity
35.55555555555556	6.111111111111111	22.0	7.5	SNIC-Infinity
35.55555555555556	6.666666666666667	22.0	7.5	no signal
35.55555555555556	7.222222222222222	22.0	7.5	no signal
35.55555555555556	7.777777777777778	22.0	7.5	no signal
35.55555555555556	8.333333333333334	22.0	7.5	no signal
35.55555555555556	8.88888888888889	22.0	7.5	no signal
35.55555555555556	9.444444444444445	22.0	7.5	no signal
35.55555555555556	10.0	22.0	7.5	no signal
38.51851851851852	5.0	22.0	7.5	SN-Infinity
38.51851851851852	5.555555555555555	22.0	7.5	SN-Infinity
38.51851851851852	6.111111111111111	22.0	7.5	SNIC-Infinity
38.51851851851852	6.666666666666667	22.0	7.5	SNIC-Infinity
38.51851851851852	7.222222222222222	22.0	7.5	SNIC-SNIC
38.51851851851852	7.777777777777778	22.0	7.5	no signal
38.51851851851852	8.333333333333334	22.0	7.5	no signal
38.51851851851852	8.88888888888889	22.0	7.5	no signal
38.51851851851852	9.444444444444445	22.0	7.5	no signal
38.51851851851852	10.0	22.0	7.5	no signal
41.48148148148148	5.0	22.0	7.5	SN-Infinity
41.48148148148148	5.555555555555555	22.0	7.5	SN-Infinity
41.48148148148148	6.111111111111111	22.0	7.5	SN-Infinity
41.48148148148148	6.666666666666667	22.0	7.5	SNIC-Infinity
41.48148148148148	7.222222222222222	22.0	7.5	SNIC-Infinity
41.48148148148148	7.777777777777778	22.0	7.5	SNIC-SNIC
41.48148148148148	8.333333333333334	22.0	7.5	no signal
41.48148148148148	8.88888888888889	22.0	7.5	no signal
41.48148148148148	9.444444444444445	22.0	7.5	no signal
41.48148148148148	10.0	22.0	7.5	no signal
44.44444444444444	5.0	22.0	7.5	SN-Infinity
44.44444444444444	5.555555555555555	22.0	7.5	SN-Infinity
44.44444444444444	6.111111111111111	22.0	7.5	SN-Infinity
44.44444444444444	6.666666666666667	22.0	7.5	SN-Infinity
44.44444444444444	7.222222222222222	22.0	7.5	SN-Infinity
44.44444444444444	7.777777777777778	22.0	7.5	SNIC-Infinity
44.44444444444444	8.333333333333334	22.0	7.5	SNIC-SNIC
44.44444444444444	8.88888888888889	22.0	7.5	no signal
44.44444444444444	9.444444444444445	22.0	7.5	no signal
44.44444444444444	10.0	22.0	7.5	no signal
47.40740740740741	5.0	22.0	7.5	SN-Infinity
47.40740740740741	5.555555555555555	22.0	7.5	SN-Infinity
47.40740740740741	6.111111111111111	22.0	7.5	SN-Infinity
47.40740740740741	6.666666666666667	22.0	7.5	SN-Infinity
47.40740740740741	7.222222222222222	22.0	7.5	SN-Infinity
47.40740740740741	7.777777777777778	22.0	7.5	SN-Infinity
47.40740740740741	8.333333333333334	22.0	7.5	SNIC-Infinity
47.40740740740741	8.88888888888889	22.0	7.5	SNIC-Infinity
47.40740740740741	9.444444444444445	22.0	7.5	no signal
47.40740740740741	10.0	22.0	7.5	no signal
50.370370370370374	5.0	22.0	7.5	SN-Infinity
50.370370370370374	5.555555555555555	22.0	7.5	SN-Infinity
50.370370370370374	6.111111111111111	22.0	7.5	SN-Infinity
50.370370370370374	6.666666666666667	22.0	7.5	SN-Infinity
50.370370370370374	7.222222222222222	22.0	7.5	SN-Infinity
50.370370370370374	7.777777777777778	22.0	7.5	SN-Infinity
50.370370370370374	8.333333333333334	22.0	7.5	SN-Infinity
50.370370370370374	8.88888888888889	22.0	7.5	SNIC-Infinity
50.370370370370374	9.444444444444445	22.0	7.5	SNIC-Infinity
50.370370370370374	10.0	22.0	7.5	no signal
53.333333333333336	5.0	22.0	7.5	SN-SH
53.333333333333336	5.555555555555555	22.0	7.5	SN-Infinity
53.333333333333336	6.111111111111111	22.0	7.5	SN-Infinity
53.333333333333336	6.666666666666667	22.0	7.5	SN-Infinity
53.333333333333336	7.222222222222222	22.0	7.5	SN-Infinity
53.333333333333336	7.777777777777778	22.0	7.5	SN-Infinity
53.333333333333336	8.333333333333334	22.0	7.5	SN-Infinity
53.333333333333336	8.88888888888889	22.0	7.5	SN-Infinity
53.333333333333336	9.444444444444445	22.0	7.5	SNIC-Infinity
53.333333333333336	10.0	22.0	7.5	SNIC-Infinity
26.666666666666664	5.0	25.666666666666664	7.5	no signal
26.666666666666664	5.555555555555555	25.666666666666664	7.5	no signal
26.666666666666664	6.111111111111111	25.666666666666664	7.5	no signal
26.666666666666664	6.666666666666667	25.666666666666664	7.5	no signal
26.666666666666664	7.222222222222222	25.666666666666664	7.5	no signal
26.666666666666664	7.777777777777778	25.666666666666664	7.5	no signal
26.666666666666664	8.333333333333334	25.666666666666664	7.5	no signal
26.666666666666664	8.88888888888889	25.666666666666664	7.5	no signal
26.666666666666664	9.444444444444445	25.666666666666664	7.5	no signal
26.666666666666664	10.0	25.666666666666664	7.5	no signal
29.629629629629626	5.0	25.666666666666664	7.5	no signal
29.629629629629626	5.555555555555555	25.666666666666664	7.5	no signal
29.629629629629626	6.111111111111111	25.666666666666664	7.5	no signal
29.629629629629626	6.666666666666667	25.666666666666664	7.5	no signal
29.629629629629626	7.222222222222222	25.666666666666664	7.5	no signal
29.629629629629626	7.777777777777778	25.666666666666664	7.5	no signal
29.629629629629626	8.333333333333334	25.666666666666664	7.5	no signal
29.629629629629626	8.88888888888889	25.666666666666664	7.5	no signal
29.629629629629626	9.444444444444445	25.666666666666664	7.5	no signal
29.629629629629626	10.0	25.666666666666664	7.5	no signal
32.592592592592595	5.0	25.666666666666664	7.5	SNIC-Infinity
32.592592592592595	5.555555555555555	25.666666666666664	7.5	SNIC-SNIC
32.592592592592595	6.111111111111111	25.666666666666664	7.5	no signal
32.592592592592595	6.666666666666667	25.666666666666664	7.5	no signal
32.592592592592595	7.222222222222222	25.666666666666664	7.5	no signal
32.592592592592595	7.777777777777778	25.666666666666664	7.5	no signal
32.592592592592595	8.333333333333334	25.666666666666664	7.5	no signal
32.592592592592595	8.88888888888889	25.666666666666664	7.5	no signal
32.592592592592595	9.444444444444445	25.666666666666664	7.5	no signal
32.592592592592595	10.0	25.666666666666664	7.5	no signal
35.55555555555556	5.0	25.666666666666664	7.5	SN-Infinity
35.55555555555556	5.555555555555555	25.666666666666664	7.5	SNIC-Infinity
35.55555555555556	6.111111111111111	25.666666666666664	7.5	SNIC-SNIC
35.55555555555556	6.666666666666667	25.666666666666664	7.5	no signal
35.55555555555556	7.222222222222222	25.666666666666664	7.5	no signal
35.55555555555556	7.777777777777778	25.666666666666664	7.5	no signal
35.55555555555556	8.333333333333334	25.666666666666664	7.5	no signal
35.55555555555556	8.88888888888889	25.666666666666664	7.5	no signal
35.55555555555556	9.444444444444445	25.666666666666664	7.5	no signal
35.55555555555556	10.0	25.666666666666664	7.5	no signal
38.51851851851852	5.0	25.666666666666664	7.5	SN-Infinity
38.51851851851852	5.555555555555555	25.666666666666664	7.5	SN-Infinity
38.51851851851852	6.111111111111111	25.666666666666664	7.5	SNIC-Infinity
38.51851851851852	6.666666666666667	25.666666666666664	7.5	SNIC-SNIC
38.51851851851852	7.222222222222222	25.666666666666664	7.5	no signal
